IRIS;COM;LAB_IRIS;P19_POP;P19_POP0002;P19_POP0305;P19_POP0610;P19_POP1117;P19_POP1824;P19_POP2539;P19_POP4054;P19_POP5564;P19_POP6579;P19_POP80P;P19_POP0014;P19_POP1529;P19_POP3044;P19_POP4559;P19_POP6074;P19_POP75P;P19_POP0019;P19_POP2064;P19_POP65P;P19_POPH;P19_H0014;P19_H1529;P19_H3044;P19_H4559;P19_H6074;P19_H75P;P19_H0019;P19_H2064;P19_H65P;P19_POPF;P19_F0014;P19_F1529;P19_F3044;P19_F4559;P19_F6074;P19_F75P;P19_F0019;P19_F2064;P19_F65P;C19_POP15P;C19_POP15P_CS1;C19_POP15P_CS2;C19_POP15P_CS3;C19_POP15P_CS4;C19_POP15P_CS5;C19_POP15P_CS6;C19_POP15P_CS7;C19_POP15P_CS8;C19_H15P;C19_H15P_CS1;C19_H15P_CS2;C19_H15P_CS3;C19_H15P_CS4;C19_H15P_CS5;C19_H15P_CS6;C19_H15P_CS7;C19_H15P_CS8;C19_F15P;C19_F15P_CS1;C19_F15P_CS2;C19_F15P_CS3;C19_F15P_CS4;C19_F15P_CS5;C19_F15P_CS6;C19_F15P_CS7;C19_F15P_CS8;P19_POP_FR;P19_POP_ETR;P19_POP_IMM;P19_PMEN;P19_PHORMEN
975010000;97501;5;580;21.1678534894025;12.4284868053396;36.2587596329324;48.066789350341;28.1447938568054;104.342101386076;141.29271071548;81.6253828200639;77.9400152746384;28.7331066689207;92.9044007552308;78.4707296108931;116.815398049236;143.8309497679;100.457795617402;47.5207261993381;126.574515605004;346.752362451437;106.673121943559;288.896983521425;49.8307620322672;40.733358965608;55.1025952550952;72.3420865874897;54.1135554153597;16.7746252656055;67.1937704669718;171.467180744956;50.2360323094971;291.103016478575;43.0736387229636;37.737370645285;61.7128027941405;71.4888631804102;46.3442402020426;30.7461009337326;59.3807451380322;175.28518170648;56.437089634062;487.095599244769;4.89104476484471;14.6896161829949;10.7813421870797;51.4850467165961;117.573435711412;94.6574281951781;116.397235694176;76.6204497924875;239.066221489158;3.92166315384356;5.81738945811002;2.95250482942398;32.0220936760864;36.988255953783;72.1831114142717;62.9710665654896;22.2101364381499;248.029377755611;0.969381611001152;8.87222672488491;7.82883735765571;19.4629530405097;80.585179757629;22.4743167809063;53.4261691286865;54.4103133543376;572.200367167131;7.79963283286929;23.2526459617155;580;0
975020101;97502;4;2734.93463542574;77.4629325425844;67.4401487669085;172.674307494972;232.366068177387;130.605426155101;452.508998651648;631.14581806981;362.989583758316;406.396481597021;201.344870211992;442.621188490159;373.713129602706;513.910800400041;633.909890029987;438.274507920299;332.505118982548;580.81807342;1546.37521019673;607.741351809013;1296.25426612892;212.422998270155;205.30136494636;250.092798279637;322.338587527599;190.988853681285;115.10966342388;291.989039038357;779.137952738572;225.127274351987;1438.68036929682;230.198190220004;168.411764656345;263.818002120405;311.571302502388;247.285654239014;217.395455558668;288.829034381643;767.237257458155;382.614077457027;2292.31344693558;0;98.7041479140553;217.501081167862;321.121202437734;471.929894908698;250.420990206844;673.673961947724;258.962168352664;1083.83126785876;0;55.8598709291923;126.636211378481;172.526488788449;133.735735703636;208.48507780484;268.089993545106;118.497889709055;1208.48217907682;0;42.844276984863;90.864869789381;148.594713649285;338.194159205062;41.935912402004;405.583968402618;140.464278643609;2703.02563833725;31.9089970884883;96.7921274954232;2653.93584730331;80.9987881224348
975020102;97502;4;2659.06536457426;85.3790124546489;108.169506545495;202.426862486911;272.03424621183;124.406337909723;472.606941517265;768.195454292162;379.741350652214;221.066604803505;25.0390477005038;548.798241634237;352.241836352109;577.837206328398;763.177763619638;347.966324582334;69.0439920575431;707.76584670317;1705.19386536708;246.105652504009;1338.46981635789;270.893284448071;182.101918837854;271.641822781372;390.892588987755;189.920245684666;33.0199556181758;346.394153385714;864.0879836204;127.98767935178;1320.59554821637;277.904957186165;170.139917514255;306.195383547026;372.285174631883;158.046078897668;36.0240364393673;361.371693317456;841.10588174668;118.117973152229;2110.26712294002;2.99623013716271;102.608564467637;216.175613861556;338.761159773708;534.043124006523;293.871690869578;371.032214931263;250.778524892595;1067.57653190982;2.99623013716271;68.7836458072216;124.536683730948;155.414596854524;150.460563147798;269.947587518849;202.955032896315;92.482191817005;1042.6905910302;0;33.8249186604151;91.6389301306088;183.346562919184;383.582560858725;23.9241033507288;168.077182034948;158.29633307559;2634.18702315826;24.8783414160027;91.6086142864156;2656.06540945861;2.99995511564574
977010101;97701;4;3375.192635664;116.971652970164;113.931701989435;159.503007220013;213.23737114433;296.138387592034;967.484477389219;830.79779286961;383.145189948913;221.817865938439;72.1651886018382;517.731039439488;723.150679666444;878.64982454087;818.102496929176;306.611998838186;130.946596249832;641.922906189221;2439.2866749345;293.983054540277;1806.15902187347;293.072390291822;385.96640809767;470.237227171237;456.572344090786;155.941858116689;44.3687941052665;355.160157771893;1323.03234958623;127.966514515346;1569.03361379052;224.658649147666;337.184271568774;408.412597369633;361.53015283839;150.670140721497;86.5778021445653;286.762748417328;1116.25432534827;166.016540024931;2779.01881278912;5.15563076793687;423.399611967722;134.220329394596;340.793237601942;614.680079610859;646.170825392725;314.668004810959;299.931093242378;1523.86931419449;5.15563076793687;330.528567027807;77.4041007668997;175.534885346641;123.885941302555;527.347982581848;159.929390655801;124.082815745005;1255.14949859462;0;92.8710449399149;56.8162286276959;165.258352255301;490.794138308304;118.822842810877;154.738614155157;175.848277497374;2825.18470209559;550.007933568406;577.932399495676;3375.192635664;0
977010102;97701;4;2938.8708758791;85.9140549608824;68.3223571646971;142.41112000916;171.584316396194;221.948719810311;751.739874911304;799.534835829942;363.268645282159;249.161532346756;84.985419167693;407.211849472991;577.463359500065;718.240867426366;759.494183228907;332.924400839431;143.536215411338;511.666714734081;2093.05720963057;334.146951514449;1551.07670551386;216.009401208398;295.516985437229;377.450184026137;442.773482614033;163.833483826319;55.4931684017433;272.918458501779;1135.1400663365;143.018180675576;1387.79417036524;191.202448264593;281.946374062836;340.790683400228;316.720700614874;169.090917013112;88.0430470095946;238.748256232302;957.917143294064;191.128770838873;2595.89025996407;5.17880925167193;413.204295244344;165.021743751754;415.882517774862;613.244736739732;356.480755026184;302.898404221688;323.978997953835;1271.51774530042;5.17880925167193;247.945760747252;92.773299745626;266.40687376178;128.955377128949;299.722433735039;123.182323453881;107.352867476221;1324.37251466365;0;165.258534497092;72.2484440061281;149.475644013082;484.289359610783;56.7583212911454;179.716080767808;216.626130477615;2475.22937073082;463.641505148279;554.610983945095;2756.86977789004;182.001097989056
977010103;97701;4;3974.93648845691;119.036257056942;130.443638379501;231.890340705082;265.004668253058;264.789621770474;1083.34616065084;1105.55568285531;428.383065015002;281.546725276048;64.9403284946473;638.722766987563;729.150175130851;1070.85372936344;1028.7472024566;384.78143807393;122.681176444525;780.504110162558;2847.94532452365;346.487053770695;2106.32990298833;316.82074242839;377.416550460214;565.33694278991;596.039567175557;198.133203388324;52.5828967459301;387.190052401699;1552.04154136118;167.098309225449;1868.60658546858;321.902024559173;351.733624670637;505.516786573525;432.707635281044;186.648234685607;70.0982796985946;393.314057760858;1295.90378316248;179.388744545246;3358.16837555791;25.8013582580217;625.212412185687;201.498466706157;480.622757318877;754.253724035752;625.466670830852;293.987443444344;351.325542778223;1839.29160254051;15.4784685492607;480.436780614404;129.203717659995;227.404924433302;222.110352435966;516.884926999076;134.046581625039;113.725850223467;1518.8767730174;10.3228897087609;144.775631571283;72.2947490461612;253.217832885575;532.143371599787;108.581743831776;159.940861819304;237.599692554756;3343.15344429473;631.783044162173;710.285470840636;3972.93647639109;2.0000120658138
978010101;97801;1;3879.79711591412;181.355781745204;155.522831098704;279.459554619487;431.368081180944;289.367163762617;735.440346046379;836.248910730544;564.546399285975;377.608191719672;28.8798557245941;892.414512560052;677.566579751472;765.341780391394;886.18045446888;581.305579739131;76.9882090031919;1122.47901878488;2350.83004968497;406.488047444266;1864.63700935656;429.558636447404;329.140718426116;329.018172062859;445.894818424275;291.392511993401;39.6321520025095;547.92887764653;1111.61653143148;205.091600278554;2015.16010655756;462.855876112648;348.425861325356;436.323608328535;440.285636044604;289.91306774573;37.3560570006823;574.550141138352;1239.21351825349;201.396447165712;2987.38260335407;10.348750905063;207.362621326594;91.8072584704187;213.071179521152;653.179623621491;456.940331417173;377.569995915878;977.102842176298;1435.07837290916;5.33898087881988;131.320508236446;55.6778271147803;106.086804804742;154.929539606389;375.048239096128;196.429363662435;410.247109509419;1552.30423044491;5.00977002624314;76.0421130901486;36.1294313556384;106.98437471641;498.250084015102;81.8920923210445;181.140632253443;566.855732666879;2631.59503973882;1248.2020761753;1129.99087960962;3837.79648935183;42.0006265622884
978010102;97801;2;1756.2553365188;22.502055937561;64.5191289976026;118.769170652392;200.187041347534;123.533691639498;308.862808669764;436.352080934556;246.809858919712;169.28305221863;65.436447201546;317.748635379264;283.075579379003;320.954393629126;488.806975365388;245.204878916286;100.464873849728;442.986009783103;1078.54982731552;234.719499420176;847.110229093009;190.674093176556;145.829907263131;113.764842151371;231.810307930375;124.468184624199;40.5628939473779;247.9052621521;498.066627870945;101.138339069965;909.145107425786;127.074542202708;137.245672115872;207.189551477755;256.996667435013;120.736694292087;59.9019799023504;195.080747631003;580.483199444572;133.581160350211;1439.56418817941;2.94171055089043;120.439299634327;98.5569652388807;100.899786470196;217.023332048436;207.062764111272;223.417807069416;469.222523055994;653.263674796805;2.94171055089043;89.2156024884912;54.8107692433378;43.2352451438522;57.4678705071673;146.711188475708;99.4560387765494;159.425249610809;786.300513382608;0;31.2236971458361;43.7461959955429;57.6645413263439;159.555461541269;60.3515756355645;123.961768292867;309.797273445185;1135.12692967762;621.128406841172;599.557205114661;1611.58651169314;144.66882482566
978010103;97801;2;1508.74773832423;67.9537289738886;69.6891651975592;90.6319340541832;169.084195645946;115.996558825898;360.844973597989;314.864447655837;178.472922202236;121.225539788191;19.9842723825059;337.808222689333;310.897328409506;323.574532450311;339.919757819745;145.703579718616;50.8443172367232;432.389418789183;935.148507364355;141.209812170697;701.825927863389;174.980540809404;154.606824788051;142.178547119305;155.837531022919;60.796956026714;13.425528096996;219.713413028737;435.107929257692;47.0045855769599;806.921810460846;162.827681879929;156.290503621455;181.395985331006;184.082226796826;84.9066236919023;37.4187891397272;212.676005760446;500.040578106663;94.2052265937368;1170.9395156349;5.88342110178087;88.0474019965537;41.690177002994;124.242362482756;291.687225675797;210.731229782728;111.669850854185;296.987846738107;526.845387053985;5.88342110178087;52.1781241936184;27.941309164614;54.8216853853505;68.0282197149334;173.769626230483;35.5651927027078;108.657808560497;644.094128580917;0;35.8692778029353;13.74886783838;69.4206770974052;223.659005960864;36.9616035522444;76.1046581514773;188.33003817761;972.666040825208;536.081697499026;521.092973595818;1508.74773832423;0
978010104;97801;1;1847.18092978207;85.5118527763869;89.7903137864654;178.971390696996;250.042770771958;111.304962831088;319.393505920524;413.518547691583;226.250035339601;139.553185799183;32.8443641682853;516.115965194161;297.189802929697;329.827240780843;431.54471497591;220.218102490739;52.2851034107215;644.666085395469;1030.11729441913;172.397549967468;859.095514154079;262.495471668326;139.220874434027;127.768997378042;209.988932769139;96.7994116709136;22.8218262336319;318.527047425458;473.196596939324;67.3718697892962;988.085415627992;253.620493525835;157.96892849567;202.058243402801;221.555782206771;123.418690819825;29.4632771770895;326.13903797001;556.920697479809;105.025680178172;1325.83644214475;0;108.781753567704;23.1971527289035;118.633426559859;311.849084317846;246.198532322173;157.925411834577;359.251080813684;593.985781264172;0;65.9399360920727;7.73340745628305;44.4524436637367;68.7535421037068;201.151321167177;64.5335623500513;141.421568431144;731.850660880575;0;42.8418174756316;15.4637452726204;74.180982896122;243.095542214139;45.0472111549959;93.3918494845261;217.82951238254;1046.15580837902;801.025121403049;699.854648746826;1847.18092978207;0
